Australian,Airline,InFlights,OutFlights,Year
Brisbane,JALWays,30,30,2010
Brisbane,Jetstar,61,60,2010
Brisbane,Korean Air,17,17,2010
Brisbane,Malaysia Airlines,30,30,2010
Brisbane,Nauru Airlines,5,4,2010
Brisbane,Philippine Airlines,8,7,2010
Brisbane,Qantas Airways,144,141,2010
Brisbane,Royal Brunei Airlines,26,26,2010
Brisbane,Singapore Airlines,84,84,2010
Brisbane,Solomon Airlines,13,13,2010
Brisbane,Thai Airways International,42,42,2010
Brisbane,V Australia,21,21,2010
Brisbane,Virgin Australia,227,226,2010
Brisbane,Virgin Samoa,4,4,2010
Cairns,Air New Zealand,18,18,2010
Cairns,Air Niugini,51,50,2010
Cairns,Airlines PNG,26,26,2010
Cairns,Cathay Pacific Airways,26,26,2010
Cairns,Continental Micronesia,17,17,2010
Cairns,Jetstar,61,67,2010
Cairns,Virgin Australia,9,9,2010
Darwin,Jetstar,101,101,2010
Gold Coast,Air New Zealand,23,23,2010
Gold Coast,AirAsia X,30,30,2010
Gold Coast,Jetstar,72,72,2010
Gold Coast,Virgin Australia,30,30,2010
Melbourne,Air China,17,17,2010
Melbourne,Air Mauritius,4,5,2010
Melbourne,Air New Zealand,112,112,2010
Melbourne,Fiji Airways,15,15,2010
Melbourne,Air Vanuatu,1,1,2010
Melbourne,AirAsia X,50,50,2010
Melbourne,Cathay Pacific Airways,90,90,2010
Melbourne,China Eastern Airlines,14,14,2010
Melbourne,China Southern Airlines,12,12,2010
Melbourne,Emirates,120,120,2010
Melbourne,Etihad Airways,29,29,2010
Melbourne,Garuda Indonesia,30,30,2010
Melbourne,Jetstar,85,88,2010
Melbourne,Korean Air,13,13,2010
Melbourne,Malaysia Airlines,60,60,2010
Melbourne,Philippine Airlines,21,20,2010
Melbourne,Qantas Airways,213,209,2010
Melbourne,Qatar Airways,30,30,2010
Melbourne,Singapore Airlines,90,90,2010
Melbourne,Thai Airways International,59,59,2010
Melbourne,United Airlines,30,30,2010
Melbourne,V Australia,22,22,2010
Melbourne,Vietnam Airlines,20,20,2010
Melbourne,Virgin Australia,86,86,2010
Norfolk Island,Air New Zealand,4,4,2010
Perth,Air Australia,6,6,2010
Perth,Air Mauritius,4,5,2010
Perth,Air New Zealand,21,21,2010
Perth,AirAsia X,30,30,2010
Perth,Cathay Pacific Airways,30,30,2010
Perth,Emirates,61,61,2010
Perth,Garuda Indonesia,90,90,2010
Perth,Indonesia AirAsia,90,90,2010
Perth,Jetstar,68,68,2010
Perth,Malaysia Airlines,42,42,2010
Perth,Qantas Airways,77,77,2010
Perth,Royal Brunei Airlines,21,22,2010
Perth,Singapore Airlines,74,74,2010
Perth,South African Airways,29,29,2010
Perth,Thai Airways International,27,26,2010
Perth,Tigerair,30,30,2010
Perth,Virgin Australia,39,39,2010
Sydney,Aerolineas Argentinas,12,12,2010
Sydney,Air Austral,8,8,2010
Sydney,Air Caledonie,22,21,2010
Sydney,Air Canada,30,31,2010
Sydney,Air China,30,30,2010
