Australian,Airline,InFlights,OutFlights,Year,Month_Number
Sydney,China Airlines,18,18,2010,2
Sydney,China Eastern Airlines,17,17,2010,3
Sydney,China Southern Airlines,31,31,2010,4
Sydney,Delta Air Lines,30,30,2010,5
Sydney,Emirates,154,154,2010,6
Sydney,Etihad Airways,49,49,2010,7
Sydney,Garuda Indonesia,31,30,2010,8
Sydney,Hawaiian Airlines,13,13,2010,9
Sydney,JALWays,31,31,2010,10
Sydney,Jetstar,160,166,2010,11
Sydney,Korean Air,31,31,2010,12
Sydney,LATAM Airlines,26,27,2010,1
Sydney,Malaysia Airlines,53,53,2010,2
Sydney,Philippine Airlines,23,23,2010,3
Sydney,Qantas Airways,634,629,2010,4
Sydney,Singapore Airlines,124,124,2010,5
Sydney,Thai Airways International,89,89,2010,6
Sydney,United Airlines,62,59,2010,7
Sydney,V Australia,52,52,2010,8
Sydney,Vietnam Airlines,18,18,2010,9
Sydney,Virgin Atlantic Airways,31,31,2010,10
Sydney,Virgin Australia,105,104,2010,11
Sydney,Virgin Samoa,13,13,2010,12
Adelaide,Air New Zealand,18,18,2010,1
Adelaide,Cathay Pacific Airways,30,30,2010,2
Adelaide,Malaysia Airlines,17,17,2010,3
Adelaide,Qantas Airways,14,13,2010,4
Adelaide,Singapore Airlines,30,30,2010,5
Adelaide,Virgin Australia,13,13,2010,6
Brisbane,Air Caledonie,8,8,2010,7
Brisbane,Air New Zealand,125,125,2010,8
Brisbane,Air Niugini,38,34,2010,9
Brisbane,Fiji Airways,29,29,2010,10
Brisbane,Air Vanuatu,12,14,2010,11
Brisbane,Cathay Pacific Airways,43,43,2010,12
Brisbane,China Airlines,12,12,2010,1
Brisbane,Emirates,90,90,2010,2
Brisbane,Etihad Airways,12,12,2010,3
Brisbane,Eva Air,9,9,2010,4
Brisbane,JALWays,30,30,2010,5
Brisbane,Jetstar,61,60,2010,6
Brisbane,Korean Air,17,17,2010,7
Brisbane,Malaysia Airlines,30,30,2010,8
Brisbane,Nauru Airlines,5,4,2010,9
Brisbane,Philippine Airlines,8,7,2010,10
Brisbane,Qantas Airways,144,141,2010,11
Brisbane,Royal Brunei Airlines,26,26,2010,12
Brisbane,Singapore Airlines,84,84,2010,1
Brisbane,Solomon Airlines,13,13,2010,2
Brisbane,Thai Airways International,42,42,2010,3
